Original UUID,Descendant UUID,Dataset Type,Group Name,Organ,Sex,Status
28f50df13e19799efb4f4d82e2a43664,ca7d5b6dda4e11e34161ff4ccb1d498c,GeoMx (NGS),TMC - Pacific Northwest National Laboratory,PA,Male,New
28f50df13e19799efb4f4d82e2a43664,bdd256b1bd5288057496063c9806c3a2,GeoMx (NGS),TMC - Pacific Northwest National Laboratory,PA,Male,Error
28f50df13e19799efb4f4d82e2a43664,0e12ed3b4bf6ed9de8a39552ebb16375,GeoMx (NGS),TMC - Pacific Northwest National Laboratory,PA,Male,Error
28f50df13e19799efb4f4d82e2a43664,1ef8ab2ba1107e9d1fb9eb2ceda7190b,GeoMx (NGS),TMC - Pacific Northwest National Laboratory,PA,Male,Error
28f50df13e19799efb4f4d82e2a43664,c7bc20a9611353f46e84ee23399a820c,GeoMx (NGS),TMC - Pacific Northwest National Laboratory,PA,Male,Submitted
28f50df13e19799efb4f4d82e2a43664,57d757dea16af2e3034327be92eb68fd,GeoMx (NGS),TMC - Pacific Northwest National Laboratory,PA,Male,Submitted
28f50df13e19799efb4f4d82e2a43664,754f688ff437850e64f64bf018b6116f,GeoMx (NGS),TMC - Pacific Northwest National Laboratory,PA,Male,Submitted
28f50df13e19799efb4f4d82e2a43664,f798c961c062acebd6930ecd69b4a0f8,GeoMx (NGS),TMC - Pacific Northwest National Laboratory,PA,Male,Submitted
28f50df13e19799efb4f4d82e2a43664,5fd300cf2be40a1e2e043e1dc0475897,GeoMx (NGS),TMC - Pacific Northwest National Laboratory,PA,Male,Submitted
28f50df13e19799efb4f4d82e2a43664,0ba030fe6cccf2bcd97fb92b48847c2b,GeoMx (NGS),TMC - Pacific Northwest National Laboratory,PA,Male,Submitted
28f50df13e19799efb4f4d82e2a43664,4206b01cff558096281407f1a4a02d73,GeoMx (NGS),TMC - Pacific Northwest National Laboratory,PA,Male,Submitted
28f50df13e19799efb4f4d82e2a43664,52e55e579fd529cbfcd49d57fc6af4b6,GeoMx (NGS),TMC - Pacific Northwest National Laboratory,PA,Male,Submitted
28f50df13e19799efb4f4d82e2a43664,fc4a5040f79175c1b89307d6f768ccd2,GeoMx (NGS),TMC - Pacific Northwest National Laboratory,PA,Male,Submitted
28f50df13e19799efb4f4d82e2a43664,94fbf969ffd256be3dca4050efdf06d2,GeoMx (NGS),TMC - Pacific Northwest National Laboratory,PA,Male,Submitted
28f50df13e19799efb4f4d82e2a43664,593a6276069f8ef7f05725184bb5f706,GeoMx (NGS),TMC - Pacific Northwest National Laboratory,PA,Male,Submitted
28f50df13e19799efb4f4d82e2a43664,fd62510c8db15c3df2b907f7a51b8fe4,GeoMx (NGS),TMC - Pacific Northwest National Laboratory,PA,Male,Submitted
28f50df13e19799efb4f4d82e2a43664,e09d04ecc759e99d4566e4abaf590dee,GeoMx (NGS),TMC - Pacific Northwest National Laboratory,PA,Male,Submitted
28f50df13e19799efb4f4d82e2a43664,98eff6d870342cd1dfb0585a5fc6e810,GeoMx (NGS),TMC - Pacific Northwest National Laboratory,PA,Male,Submitted
28f50df13e19799efb4f4d82e2a43664,e372e6150d0c35042265f3f59592df7d,GeoMx (NGS),TMC - Pacific Northwest National Laboratory,PA,Male,Submitted
28f50df13e19799efb4f4d82e2a43664,993e2344b694a6c4196e724abed12786,GeoMx (NGS),TMC - Pacific Northwest National Laboratory,PA,Male,Submitted
28f50df13e19799efb4f4d82e2a43664,fd692c07dd8ab59a325a172b7213e9ae,GeoMx (NGS),TMC - Pacific Northwest National Laboratory,PA,Male,Submitted
28f50df13e19799efb4f4d82e2a43664,3452a4d64dc736e30179f2b59857dfda,GeoMx (NGS),TMC - Pacific Northwest National Laboratory,PA,Male,Submitted
28f50df13e19799efb4f4d82e2a43664,1b9bd622d7ef480c21508f5b591a8f78,GeoMx (NGS),TMC - Pacific Northwest National Laboratory,PA,Male,Submitted
28f50df13e19799efb4f4d82e2a43664,12541419b5cd467a44348be851cfe001,GeoMx (NGS),TMC - Pacific Northwest National Laboratory,PA,Male,Submitted
28f50df13e19799efb4f4d82e2a43664,61fe71364e73ca39feb2cb1c4b91c7f9,GeoMx (NGS),TMC - Pacific Northwest National Laboratory,PA,Male,Submitted
28f50df13e19799efb4f4d82e2a43664,37edd6823f0102600cd7af521f366f0d,GeoMx (NGS),TMC - Pacific Northwest National Laboratory,PA,Male,Submitted
28f50df13e19799efb4f4d82e2a43664,a8580c519f94626dee39fd438e00e493,GeoMx (NGS),TMC - Pacific Northwest National Laboratory,PA,Male,New
