HubMAP ID,Submission ID,Lab ID,Type,Group Name,Created By
HBM887.KGDS.847,VAN0112-RK,,Kidney (Right),Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM639.WLKB.369,VAN0112,,Donor,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM737.XJXW.937,VAN0112-RK-5,Anterior 4 C,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM949.ZGVR.368,VAN0112-RK-6,Anterior 4 D,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM739.GMPL.795,VAN0112-RK-2,Anterior 3 C,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM276.GFPC.635,VAN0112-RK-1,Anterior 3 B,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM698.KJHG.853,VAN0112-RK-8,Anterior 4 F,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM478.ZFHP.762,VAN0112-RK-4,Anterior 4 B,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM722.DBWB.748,VAN0112-RK-7,Anterior 4 E,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM423.XPHQ.985,VAN0112-RK-3,Anterior 3 D,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM354.BMGT.857,VAN0112-RK-13,Anterior 5 F,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM258.TJSN.478,VAN0112-RK-14,Anterior 6 C,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM784.ZJPH.257,VAN0112-RK-17,Anterior 6 F,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM249.HQKB.238,VAN0112-RK-16,Anterior 6 E ,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM523.NRXN.227,VAN0112-RK-11,Anterior 5 D,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM589.PNKV.963,VAN0112-RK-12,Anterior 5 E,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM385.SNKV.624,VAN0112-RK-10,Anterior 5 C,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM652.ZMRW.992,VAN0112-RK-15,Anterior 6 D,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM695.PWZG.339,VAN0112-RK-9,Anterior 5 B,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM886.NXCM.856,VAN0112-RK-19,Anterior 7 C,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM939.PKWC.725,VAN0112-RK-20,Anterior 7 D,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM947.DLTF.693,VAN0112-RK-21,Anterior 7 E,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM236.KFMN.674,VAN0112-RK-18,Anterior 7 B,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM245.CBSJ.835,VAN0112-RK-24,Anterior 8 D,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM766.TQXK.428,VAN0112-RK-22,Anterior 7 F,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM332.SXMW.738,VAN0112-RK-25,Anterior 8 E,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM668.TVFJ.689,VAN0112-RK-23,Anterior 8 C,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM933.PCPS.677,VAN0112-RK-26,Anterior 8 F,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM625.VTSD.372,VAN0112-RK-30,Anterior 9 E,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM736.CSFH.676,VAN0112-RK-29,Anterior 9 D,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM897.PBPM.234,VAN0112-RK-33,Anterior 10 C,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM637.BZWM.965,VAN0112-RK-32,Anterior 10 B,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM549.SPBK.546,VAN0112-RK-31,Anterior 9 F,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM653.HMTL.662,VAN0112-RK-27,Anterior 9 B,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM546.WDNB.765,VAN0112-RK-35,Anterior 10 E,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM295.VCDK.833,VAN0112-RK-34,Anterior 10 D,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM673.PSST.553,VAN0112-RK-28,Anterior 9 C,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM346.PQDV.833,VAN0112-RK-45,Posterior 3 C,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM539.ZKQC.753,VAN0112-RK-42,Anterior 12 D,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM478.FMRZ.922,VAN0112-RK-38,Anterior 11 C,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM264.PSRV.582,VAN0112-RK-37,Anterior 11 B,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM443.RFHH.794,VAN0112-RK-39,Anterior 11 D,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
HBM596.ZRCV.297,VAN0112-RK-36,Anterior 10 F,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu
