HubMAP ID,Submission ID,Lab ID,Type,Group Name,Created By,rui_location_id,entity_uuid,entity_api_link,portal_link
HBM737.XJXW.937,VAN0112-RK-5,Anterior 4 C,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu,https://purl.humanatlas.io/millitome/kidney-male-right-vu/v1.0#C-4-I,11b666fa2b50d8182ddd844ee79556c5,https://entity.api.hubmapconsortium.org/entities/11b666fa2b50d8182ddd844ee79556c5,https://portal.hubmapconsortium.org/browse/sample/11b666fa2b50d8182ddd844ee79556c5
HBM949.ZGVR.368,VAN0112-RK-6,Anterior 4 D,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu,https://purl.humanatlas.io/millitome/kidney-male-right-vu/v1.0#D-4-I,2980c7f3165d8ac91b2bbacb12ba0858,https://entity.api.hubmapconsortium.org/entities/2980c7f3165d8ac91b2bbacb12ba0858,https://portal.hubmapconsortium.org/browse/sample/2980c7f3165d8ac91b2bbacb12ba0858
HBM739.GMPL.795,VAN0112-RK-2,Anterior 3 C,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu,https://purl.humanatlas.io/millitome/kidney-male-right-vu/v1.0#C-3-I,e32cbb97da0e78dd4b38f08bca46ebbd,https://entity.api.hubmapconsortium.org/entities/e32cbb97da0e78dd4b38f08bca46ebbd,https://portal.hubmapconsortium.org/browse/sample/e32cbb97da0e78dd4b38f08bca46ebbd
HBM276.GFPC.635,VAN0112-RK-1,Anterior 3 B,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu,https://purl.humanatlas.io/millitome/kidney-male-right-vu/v1.0#B-3-I,c1f22d9526dcf07ecec8fc8656d180fb,https://entity.api.hubmapconsortium.org/entities/c1f22d9526dcf07ecec8fc8656d180fb,https://portal.hubmapconsortium.org/browse/sample/c1f22d9526dcf07ecec8fc8656d180fb
HBM698.KJHG.853,VAN0112-RK-8,Anterior 4 F,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu,https://purl.humanatlas.io/millitome/kidney-male-right-vu/v1.0#F-4-I,60eb4f8851112b6db6ae1f4f8cc5b83e,https://entity.api.hubmapconsortium.org/entities/60eb4f8851112b6db6ae1f4f8cc5b83e,https://portal.hubmapconsortium.org/browse/sample/60eb4f8851112b6db6ae1f4f8cc5b83e
HBM478.ZFHP.762,VAN0112-RK-4,Anterior 4 B,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu,https://purl.humanatlas.io/millitome/kidney-male-right-vu/v1.0#B-4-I,234ab139ed7c88e99f9b17d4afbee6f9,https://entity.api.hubmapconsortium.org/entities/234ab139ed7c88e99f9b17d4afbee6f9,https://portal.hubmapconsortium.org/browse/sample/234ab139ed7c88e99f9b17d4afbee6f9
HBM722.DBWB.748,VAN0112-RK-7,Anterior 4 E,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu,https://purl.humanatlas.io/millitome/kidney-male-right-vu/v1.0#E-4-I,4d243dc8aa88be83e54973fe548e9d6b,https://entity.api.hubmapconsortium.org/entities/4d243dc8aa88be83e54973fe548e9d6b,https://portal.hubmapconsortium.org/browse/sample/4d243dc8aa88be83e54973fe548e9d6b
HBM423.XPHQ.985,VAN0112-RK-3,Anterior 3 D,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu,https://purl.humanatlas.io/millitome/kidney-male-right-vu/v1.0#D-3-I,bef826ec59ad9d3d3d081857508fd51a,https://entity.api.hubmapconsortium.org/entities/bef826ec59ad9d3d3d081857508fd51a,https://portal.hubmapconsortium.org/browse/sample/bef826ec59ad9d3d3d081857508fd51a
HBM354.BMGT.857,VAN0112-RK-13,Anterior 5 F,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu,https://purl.humanatlas.io/millitome/kidney-male-right-vu/v1.0#F-5-I,1e69297deaa5c3022ab9608763b158ec,https://entity.api.hubmapconsortium.org/entities/1e69297deaa5c3022ab9608763b158ec,https://portal.hubmapconsortium.org/browse/sample/1e69297deaa5c3022ab9608763b158ec
HBM258.TJSN.478,VAN0112-RK-14,Anterior 6 C,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu,https://purl.humanatlas.io/millitome/kidney-male-right-vu/v1.0#C-6-I,211e12217cb202b39d58dd72ce96796f,https://entity.api.hubmapconsortium.org/entities/211e12217cb202b39d58dd72ce96796f,https://portal.hubmapconsortium.org/browse/sample/211e12217cb202b39d58dd72ce96796f
HBM784.ZJPH.257,VAN0112-RK-17,Anterior 6 F,Block,Vanderbilt TMC,jamie.l.allen@vanderbilt.edu,https://purl.humanatlas.io/millitome/kidney-male-right-vu/v1.0#F-6-I,f9edce3448aee94e41067897e4096293,https://entity.api.hubmapconsortium.org/entities/f9edce3448aee94e41067897e4096293,https://portal.hubmapconsortium.org/browse/sample/f9edce3448aee94e41067897e4096293
