pin_nhash_id,polygon_nhash_id,atlas_id,local_name,slab_nhash_id,donor_nhash_id,slab_name,donor_name,pin_MNI_x,pin_MNI_y,pin_MNI_z,polygon_area,polygon_volume(mm^3),MNI_x_mm,MNI_y_mm,MNI_z_mm,structure_name,structure_acronym
RI-FXDWEY874480,RI-MNMNLN400149,265297126,H18.30.002.10x.BN.003,SL-KFFCNK489015,DO-KFFC4890,H18.30.002.CX.46,H18.30.002,164,272,153,7067.5,422,16,-2,4.5,external segment of globus pallidus,GPe
RI-TTTRXS536318,RI-KEGCIJ544234,265297126,H19.30.002.10x.BL,SL-RLQJNI866689,DO-RLQJ8666,H19.30.002.CX.48,H19.30.002,151,253,96,16658,317,22.5,7.5,-24,white matter of forebrain,FWM
RI-VSWNST420173,RI-HIKEDG700313,265297126,H19.30.001.10x.Pu,SL-HBBUWX135273,DO-HBBU1352,H19.30.001.CX.48,H19.30.001,151,229,156,50565.5,842,22.5,19.5,6,white matter of forebrain,FWM
RI-MJQLPN352905,RI-XVBVWA627451,265297126,H19.30.001.10x.A19,SL-HBBUCK135253,DO-HBBU1352,H19.30.001.CX.55,H19.30.001,73,138,165,129740,1739,61.5,65,10.5,middle temporal gyrus,MTG
RI-OOOVSN362349,RI-PJJKOL338451,265297126,H19.30.001.10x.A44-A45,SL-HBBUYZ135250,DO-HBBU1352,H19.30.001.CX.44,H19.30.001,139,330,141,430983,7181,28.5,-31,-1.5,white matter of forebrain,FWM
RI-AWYZXA651477,RI-CDZAGB557516,265297126,H18.30.002.10x.ACC,SL-KFFCNU489047,DO-KFFC4890,H18.30.002.CX.44,H18.30.002,197,321,123,13526,826,-0.5,-26.5,-10.5,"cingulate gyrus, rostral (anterior) part",CgGr
RI-PLIJJO690126,RI-HJMHHI453108,265297126,H18.30.002.10x.CoA,SL-KFFCYT489056,DO-KFFC4890,H18.30.002.CX.47,H18.30.002,164,260,113,4241,259,16,4,-15.5,anterior cortical nucleus,CoA
RI-IIJLKL636616,RI-ECACCF718145,265297126,H18.30.002.10x.A23,SL-KFFCPR489021,DO-KFFC4890,H18.30.002.CX.50,H18.30.002,197,185,210,4468,273,-0.5,41.5,33,outside_brain,OUT
RI-BXZDBF698331,RI-AWBVVX506657,265297126,H18.30.002.10x.PAG,SL-KFFCKO489066,DO-KFFC4890,H18.30.002.CX.51,H18.30.002,200,200,108,8525,548,-2,34,-18,pontine tegmentum,PnTg
RI-EMLDGG381969,RI-LOPSPP319655,265297126,H18.30.002.10x.PnRF,SL-KFFCFM489091,DO-KFFC4890,H18.30.002.CX.52,H18.30.002,188,190,62,7255.5,444,4,39,-41,pontine tegmentum,PnTg
RI-BDZGII603147,RI-BBABED851655,265297126,H18.30.002.10x.CbDN.003,SL-KFFCWW489030,DO-KFFC4890,H18.30.002.CX.54,H18.30.002,152,149,79,18838,1160,22,59.5,-32.5,white matter of hindbrain,HWM
RI-XZVXVW260827,RI-CZXYBW569291,265297126,H19.30.002.CX51.M1C,SL-RLQJHH866663,DO-RLQJ8666,H19.30.002.CX.51,H19.30.002,170,165,290,52081.5,882,13,51.5,73,white matter of forebrain,FWM
RI-WTCXTA809737,RI-TQRZTZ387806,265297126,H19.30.001.CX51.MTC,SL-HBBULN135262,DO-HBBU1352,H19.30.001.CX.51,H19.30.001,65,199,113,58326.5,1058,65.5,34.5,-15.5,middle temporal gyrus,MTG
RI-LFFMKI964369,RI-YBDYWZ474626,265297126,H19.30.001.10x.A32,SL-HBBUSS135270,DO-HBBU1352,H19.30.001.CX.43,H19.30.001,170,335,174,29841.5,577,13,-33.5,15,white matter of forebrain,FWM
RI-FDEZZF607931,RI-YFXDBF111121,265297126,H18.30.002.10x.A32,SL-KFFCNU489047,DO-KFFC4890,H18.30.002.CX.44,H18.30.002,188,322,105,3428,209,4,-27,-19.5,rostral gyrus,RoG
RI-KJFHEG241050,RI-FGJIHG879897,265297126,H18.30.002.10x.Pir,SL-KFFCYT489056,DO-KFFC4890,H18.30.002.CX.47,H18.30.002,151,265,111,2793,171,22.5,1.5,-16.5,anterior amygdaloid area,AAA
RI-VRVTTT214725,RI-MPNOPP585116,265297126,H18.30.002.10x.Pul,SL-KFFCPR489021,DO-KFFC4890,H18.30.002.CX.50,H18.30.002,151,203,128,17897,1095,22.5,32.5,-8,tail of hippocampus,HiT
RI-KFHHIH611497,RI-JFDFGG463970,265297126,H18.30.002.10x.PnRF.003,SL-KFFCKO489066,DO-KFFC4890,H18.30.002.CX.51,H18.30.002,188,202,72,6425,413,4,33,-36,basilar part of pons,PnBa
RI-GJEHLD815596,RI-NOMMLM722653,265297126,H18.30.002.10x.PB,SL-KFFCFM489091,DO-KFFC4890,H18.30.002.CX.52,H18.30.002,165,181,83,6655,408,15.5,43.5,-30.5,white matter of hindbrain,HWM
RI-AWYXWV902583,RI-HDGDFG634217,265297126,H18.30.002.10x.CBV,SL-KFFCCX489028,DO-KFFC4890,H18.30.002.CX.53,H18.30.002,188,159,105,9979,652,4,54.5,-19.5,cerebellar vermis,CBV
RI-LEFJEH855428,RI-ZWEAAY224687,265297126,H18.30.002.10x.MoAN,SL-KFFCWW489030,DO-KFFC4890,H18.30.002.CX.54,H18.30.002,176,154,39,4651,286,10,57,-52.5,paravermis of cerebellum,CBPV
RI-PNMIMI826678,RI-EIGHDE979189,265297126,H19.30.002.10x.A25,SL-RLQJYW866674,DO-RLQJ8666,H19.30.002.CX.45,H19.30.002,188,303,119,3621,72,4,-17.5,-12.5,"cingulate gyrus, rostral (anterior) part",CgGr
RI-PNMIMI826678,RI-XTQQSQ891218,265297126,H19.30.002.CX45.A25,SL-RLQJYW866674,DO-RLQJ8666,H19.30.002.CX.45,H19.30.002,188,303,121,35111,706,4,-17.5,-11.5,"cingulate gyrus, rostral (anterior) part",CgGr
